"idRegistroEncuesta","idEstablecimiento","NombreEstablecimiento","NombrePropietario","Direccion","Ciudad","GPS","StickerQR","Canal","Localidad","SubLocalidad"
6121634,621118,Puntos rojo tienda el mirador ,,TV 6 A # 21 - 17,PIEDECUESTA,"6.993470834568143;-73.04129345342517",1224147314,Tienda,1,2
6432555,193436,TIENDA Y VARIEDADES YERLYS,,CL 88 # 3 C - 03,BARRANQUILLA,"10.940099716186523;-74.82254028320312",42010522,Tienda,4,1
5584687,94165,Parche Aqui,no indica,CL 34 A # 55 - 35,ITAGUI,"6.167872905731201;-75.62470245361328",20902200,Comidas Rapidas,2,1
6122271,11870,DROGUERIA CRUZ VERDE,n9,CL 100 # 8 A - 49 LC 128,BOGOTA,"4.680880069732666;-74.04064178466797",10315309,Drogueria,2,2
6834519,119932,TIENDA LA GRAN ESQUINA,NO DIO,CL 21 A # 17 B - 66,BARRANQUILLA,"11.032623291015625;-74.87242126464844",40030464,Tienda,1,2
6095708,121774,ESTANQUILLO MANCHESTER,no dice,CL 46 # 49 B - 09,BELLO,"6.331498622894287;-75.55783081054688",22039096,Licoreria,1,2
3641410,316294,TANDOR SABORES DE LA INDIA,ESTEBAN IZQUIERDO,CL 69 A # 10 - 05,BOGOTA,"4.653889;-74.059785",17919652,Restaurantes,2,3
6555230,477022,JOTA Y P GOURMET,alfredo,KR 53 # 85 - 13,BARRANQUILLA,"11.007930755615234;-74.8172836303711",40902725,Comidas Rapidas,1,3
5496241,545567,variedadrs dana,yury patasira,KR 17 A # 1 - 87,TUNJA,"5.514565944671631;-73.37406158447266",132007299,Tienda,6,2
6261211,177428,tienda 4 esquinas ,,KR 51 A # 96 - 04,MEDELLIN,"6.288760185241699;-75.561279296875",20403324,Autoservicio,4,2
4032733,107773,TIENDA LOS RANCHOS ,JORGE BERROCAL ,TV 14 # 11 - 99 SEC P 5,MONTERIA,"8.736329516395926;-75.88340369984508",140002503,Tienda,4,2
5985624,548771,Tienda mi tiendita,maria rosario sierra,KR 3 NO 13 08,SILVANIA,"4.406692846678197;-74.38815230503678",200004759,Tienda,1,1
5126422,639664,LICORERA,KAREN,KR 57 # 88 - 17,MEDELLIN,"6.281164169311523;-75.56707763671875",22032436,Licoreria,4,1
7016554,116959,TDA LA ESTRELLA,no dio,TV 2 # 70 B - 47,SOLEDAD,"10.888168333333333;-74.81121166666667",40024676,Tienda,3,1
5530768,533946,TIENDA MICELANIA CORE,Belsa,CL 2 A # 30 B - 33,VILLAVICENCIO,"4.11780611313981;-73.6273098410932",125001541,Tienda,7,1
5781070,441315,ASADOS DE LA 70,NO DECLARADO,KR 70 A # 12 - 07,MEDELLIN,"6.219251666666666;-75.59257166666666",20902319,Comidas Rapidas,15,1
3728726,327503,miscelanea la 7,luz elena,CL 7 # 22 - 44,TULUA,"4.09924697876;-76.2026824951",170000137,Tienda,8,1
5574428,717229,DROGUERIA LOS ANGELES ,NO DECLARADO,AV 3 A # 12 - 53,CUCUTA,"7.893095598556101;-72.48293205164373",110005486,Drogueria,4,1
5024754,597552,tienda el monaco,camilo vega,KR 12 A 1 # 50 A - 35,RIOHACHA,"11.5178439;-72.9099692",150702993,Tienda,10,1
6387398,856336,no sabe,socorro,CL 11 # 22 F - 33,PASTO,"1.210005;-77.283825",190023212,Tienda,1,1
7023000,757635,arroz paisa,claudia,KR 13 # 108 - 25,BARRANQUILLA,"10.967143058776855;-74.836181640625",42027103,Restaurantes,3,1
4824809,158617,tienda acapulco,,CL 50 # 20 - 42,ARMENIA,"4.5204548835754395;-75.69037628173828",60037095,Tienda,2,1
5458715,218629,Miscelanea La gran Vida,Dario Cardena,CL 18 # 8 - 56,CALI,"3.4505491256713867;-76.52568054199219",30031531,Tienda,9,1
6992118,199495,tienda yinyin,,CL 53 # 13 - 53,MANIZALES,"5.06942176818848;-75.4925155639648",60036183,Tienda,5,1
6563466,190003499,no tiene,katerine arteaga,CS 2B SEC SAN FRANCISCO JONGOVITO,PASTO,"1.1909341;-77.2898058",190003499,Tienda,6,1
6834399,22014261,RESTAURANTE LA BRIGADA,paula,KR 77 C # 52 - 77,MEDELLIN,"6.2642462;-75.5929206",22014261,Restaurantes,11,1
6975464,81513,MEGA MERCADO,LUIS,KR 33 A # 40 - 28,CALI,"3.4190228506850007;-76.50346509385018",30020559,Tienda,13,2
6841096,207266,TIENDA MONTECARLO,MARCELO,CL 11 # 16 B - 07,SANTA MARTA,"11.245811462402344;-74.1973648071289",82003527,Tienda,3,2
5080975,226495,FRESH BURGUER,NO DECLARADO,KR 6 A # 162 - 16 LC F4,BOGOTA,"4.737100124359131;-74.02239990234375",10918731,Comidas Rapidas,1,1
4852744,62017375,RESTAURANTE,jesus jimenez,MZ 5 CS 38 SEC MONTELIBANO,PEREIRA,"4.78841872;-75.72633723",62017375,Restaurantes,15,2
6943038,583992,CAFE BAR  CENTROCEL,,CL 9 # 4 - 31,CUCUTA,"7.887959957122803;-72.50332641601562",1224230283,Comidas Rapidas,1,1
4747313,365893,POLOS PIZZA,,KR 10 # 4 A - 12,CHIA,"4.8545613288879395;-74.06185150146484",1210584924,Comidas Rapidas,1,3
4000657,349831,FRVERLA LA 59,MELISA MEJIA,DG 59 # 32 - 42,BELLO,"6.3438324350863695;-75.54111208766699",22009646,Tienda,2,1
6640187,180341,"0",NO DECLARADO,KR 19 # 20 - 118,BARANOA,"10.793296813964844;-74.91553497314453",42020022,Autoservicio,1,1
6775218,199231,SALS PATIO BONITO,no informa,CL 63 # 59 - 20,ITAGUI,"6.181402206420898;-75.6087875366211",20017384,Tienda,1,1
4253942,13112,RESTAURANTE EXQUISITECES,no declada,CL 127 C BIS A # 93 - 04 LC 1,BOGOTA,"4.720972772701779;-74.09388899710271",10915487,Restaurantes,11,6
4224662,161988,DONDE JUANCHO ,NO DECLARADO,CL 3 # 17 A - 32,BOGOTA,"4.59603977203;-74.0892486572",17916430,LicoBar,14,2
5545685,712532,TIENDA LAS 24 HORAS ,martha morales ,MZ 20 CS 4 SEC PEDRO DAZA,SAN MARTIN,"3.706521922722459;-73.68995041586459",125006648,Tienda,1,1
6062476,439686,FRUVES HVT,mazi,CL 13 # 27 - 81,ACACIAS,"3.986798234749018;-73.77044100285305",125012041,Autoservicio,1,1
7077234,590537,ASADERO EL CAI,NO DECLARADO,KR 12 # 8 - 19,PEREIRA,"4.80937385559082;-75.6856460571289",62031133,Cafeteria,4,1
4487698,495076,TIENDA YERAL,Ana Monica Lozano,KR 28 # 1 B BIS SUR - 00 LT 16,NEIVA,"2.9193111;-75.270012",92003725,Tienda,8,2
5189899,651479,TD MXT LA  BENDICION,,AV 0 A # 7 - 04,CUCUTA,"7.876221528276801;-72.48732584528625",0,Tienda,3,1
6336091,877350,TIENDA CELY,na,CL 72 # 98 - 51,MEDELLIN,"6.292005710392159;-75.61197701642327",22042961,Tienda,7,2
4708571,78756,LAS DELICIAS DEL GORDO,olga,CL 9 OESTE # 52 - 62,CALI,"3.4161248207092285;-76.56002807617188",30905382,Comidas Rapidas,20,1
4653131,530794,TIENDA SAN MIGUEL,,KR 14 # 12 - 23,SOLEDAD,"10.909728050231934;-74.76461791992188",42009054,Tienda,3,3
3704621,240387,TIENDA PIPE,LUISA FERNANDA GONZALES ,KR 22 # 1 A - 14,DOSQUEBRADAS,"4.8154204;-75.6818768",60030145,Tienda,1,2
6157843,188313,MI ESFUERZO ,,CL 35 # 55 - 85,CARTAGENA,"10.408856319263577;-75.49386464059353",0,Tienda,2,5
5269329,89554,tienda las palmas,,CL 143 B # 43 - 02,FLORIDABLANCA,"7.080054301768541;-73.09761238284409",1210689800,Tienda,3,1
6095121,41809,AREPAS,NO DECLARADO,DG 91 A SUR # 14 I - 55,BOGOTA,"4.509138478897512;-74.11984079517424",10051408,Comidas Rapidas,5,1
6594938,189180,SUPERFONCE,NO DECLARADO,CL 41 # 19 - 63,GIRON,"7.072423020460018;-73.16515370645011",52018951,Tienda,2,1
3722307,323770,NO TIENE,NO DECLARADO,KR 60 # 4 B - 24 LC 121,BOGOTA,"4.62333011627;-74.1194381714",17921539,Avicola,16,4
3751160,332544,tienda la Florencia,NO DECLARADO,CL 47 # 5 C - 16,VALLEDUPAR,"10.44397001;-73.2383242",160005867,Tienda,2,1
6588626,33739,FARMACENTER PASEO LAS AMERICAS,Wilmaris ,CL 6 B # 75 - 04 LC 129,BOGOTA,"4.632360458374023;-74.14512634277344",10306673,Drogueria,8,4
5800794,509160,NO TIENE,Nob,DG 46 A SUR # 53 - 19,BOGOTA,"4.5934244;-74.1382667",17997136,Cafeteria,6,1
6957647,175685,LA REJA GRIS,na,CL 106 A # 33 A - 12,MEDELLIN,"6.293829917907715;-75.54312133789062",20032906,Tienda,1,1
7008194,756416,tienda,arley,KR 66 # 6 A SUR - 37,BUENAVENTURA,"3.86297937;-76.99897024",185003073,Tienda,12,1
4560834,510700,tda mis amores ,,AV 9 # 13C - 71,CUCUTA,"7.9144981;-72.5126049",0,Tienda,7,1
6819681,245727,DROGUERIA FARMACENTER,No indica,KR 16 # 1 - 14,PIEDECUESTA,"6.998549938201904;-73.0490493774414",52017656,Drogueria,1,2
6432743,1224151887,RANCHO AREPAS,jaime arias,KR 2 # 19 - 22,DOSQUEBRADAS,"4.833265781402588;-75.68933868408203",62030446,Restaurantes,3,1
6514179,325173,SALSAMENTARIA Y COMIDAS RAPIDAS MARY,mari,DG 28 # 7 - 73,CHIQUINQUIRA,"5.62406778335571;-73.8076248168945",132002301,Comidas Rapidas,3,1
6640097,576044,banderas,nn,CL 37 # 6 - 40,LOS PATIOS,"7.84519815444946;-72.5040435791015",0,Autoservicio,1,1
5780158,185077,NO TIENE,Nov,KR 31 C # 5 B - 16,BOGOTA,"4.607490062713623;-74.10089111328125",10062876,Tienda,16,3
6770547,158889,TDA MILLE,no dio,KR 19 # 14 - 06,BARRANQUILLA,"11.0267333984375;-74.86814880371094",42014473,Tienda,1,2
5337905,1224072474,TIENDA ,NO DECLARADO,CL 80 BIS # 94 SUR - 75 LC 1,BOGOTA,"4.627490029670298;-74.20838395133615",17993194,Tienda,7,2
7033245,148616,SUPERMERCADO AUTOSERVICIO LA 40,,CL 40 # 7 - 21 SEC RESTREPO,IBAGUE,"4.438784599304199;-75.21251678466797",100400405,Autoservicio,4,2
5135199,642101,CAFETERIA,NO DECLARADO,CL 17 # 57 - 17,BOGOTA,"4.632919788360596;-74.109130859375",17988172,Cafeteria,16,2
7068349,558022,MR CHULETA,Carlos,CL 38 # 21 - 25,TULUA,"4.0777161;-76.201912",32033321,Restaurantes,5,1
5704224,223641,PASTELERA IRLANDESA,NO DECLARADO,CL 13 # 10 - 62,BOGOTA,"4.602220058441162;-74.07733917236328",17932593,Panaderia,3,2
6828940,190004001,TIENDA  EL KASKA VIVERES Y ABARROTES,jairo,MZ 34 CS 6 SEC TAMASAGRA,PASTO,"1.201935;-77.29255333333334",190004001,Tienda,6,1
6659502,532738,no tiene,marta,KR 33 A # 100 - 15,MANIZALES,"5.032626628875732;-75.46422576904297",62017734,Tienda,7,1
4845974,481201,tienda ideal,,KR 10 # 18 - 25,PASTO,"1.2017699480056763;-77.27118682861328",190003841,Tienda,2,1
3837371,32009843,LA TIENDA DEL TREBOL ,NO DECLARADO,KR 42 A # 43 - 02,CALI,"3.40888905525;-76.5101013184",32009843,Tienda,16,1
6991206,199611,NO TIENE,NA,CL 28 # 65 - 34,MEDELLIN,"6.228789806365967;-75.58338928222656",20037893,Tienda,15,1
6679971,805567,VARIEDADES Y VIDEO TIENDA,Anq,KR 78 I # 53 SUR - 05,BOGOTA,"4.611629962921143;-74.16980743408203",18010321,Tienda,8,9
6896248,81393,restaurante y bar mar azul,,KR 31 # 46 - 12,CALI,"3.4164132506364036;-76.49803741280377",12245583132,Restaurantes,13,2
6017818,141169,RENDS RESTAURANTE BAR,carlos,CL 52 # 31 - 66,BUCARAMANGA,"7.112881660461426;-73.11166381835938",50901399,Restaurantes,12,1
7040310,520437,TIENDA WILLY,nn,KR 18 C # 62 - 01 SEC PARNASO,BARRANCABERMEJA,"7.0695806;-73.85855925",260001976,Tienda,2,1
4940311,576377,TIENDA LA 47B,leonor prada,KR 47 B # 37 - 03,BARRANCABERMEJA,"7.048461437225342;-73.83639526367188",0,Tienda,7,1
7047001,184832,SURTIFRUVER EL PAISA,abdres reyna,KR 1 A # 45 B - 60,BOGOTA,"4.631850242614746;-74.06011199951172",10065749,Tienda,2,1
6994741,351915,cropan,,KR 4 ESTE # 19 A - 03,MOSQUERA,"4.709402561187744;-74.2175064086914",1210162877,Panaderia,1,1
6797877,20304082,DROGUERIA PROFANE,na,CL 32 # 47 - 52,ITAGUI,"6.164165496826172;-75.62015533447266",20304082,Drogueria,2,2
5364136,339354,RESTAURANTE MOSCOVITA,Jose ,AV NORTE # 54 - 72,TUNJA,"5.56177997589;-73.3478927612",132009759,Restaurantes,2,1
5424901,204731,TIENDA ESTEALEJO,marai,CL 31 B # 49 A - 07,CARTAGENA,"10.407920258612982;-75.50374296160527",70009077,Tienda,2,5
6265265,858907,las pilas minimarket,,CL 11 A # 55A - 55,CALI,"3.406413705088198;-76.5379299223423",1334177554,Autoservicio,17,2
5611226,720413,TIENDA UNO,nira,CL 13 # 13 A - 79,ZARZAL,"4.4001007080078125;-76.07249450683594",170005342,Tienda,1,1
5207337,572404,PAISA WOK SUR,,CL 19 # 8 B - 03,BARRANQUILLA,"11.035687446594238;-74.86888885498047",42017496,Restaurantes,1,2
6923540,536426,TIENDA LA PLAZOLETA,nn,CL 29 B # 29 A - 28,BARRANCABERMEJA,"7.0413472;-73.8518358",260003349,Tienda,4,1
6470662,158310,TIENDA MARTHA ,MARTHA GUIO,KR 5 # 12 A - 05,TUNJA,"5.523577637;-73.35973226",130002241,Tienda,7,2
6157057,575583,CAFETERIA CJ3,,CL 93 # 46 - 136,BARRANQUILLA,"11.005818367004395;-74.8264389038086",42029760,Cafeteria,1,3
5857890,227226,NO TIENE ,NO DECLARADO,CL 84 A BIS # 86 - 26,BOGOTA,"4.706399917602539;-74.09864044189453",10920531,Comidas Rapidas,10,1
4905796,315543,TDA EL PARQUESITO ,,KR 9E # 100 - 03,BARRANQUILLA,"10.956159591674805;-74.83302307128906",42005453,Tienda,3,3
6380292,378810,barbosa,,KR 11 A # 11 A - 80,SANTA MARTA,"11.244298934936523;-74.2042236328125",80005633,Tienda,4,1
6527862,888324,restaurante los velez,,KR 6 # 29 - 55,YOPAL,"5.326226711273193;-72.40502166748047",225001939,Restaurantes,4,1
6781309,35738,stoliss pan,ramon,CL 74 SUR # 78 D - 04,BOGOTA,"4.60504726800007;-74.2005064299999",10220394,Panaderia,7,3
7055199,486417,ASADERO RESTAURANTE LORENZO,Andres,CL 18 A # 2 - 16,PASTO,"1.198580026626587;-77.26595306396484",190003574,Restaurantes,4,1
5659752,469801,PANADERIA DA GUSTO,NO DECLARADO,CL 67 B # 115 D BIS - 30,BOGOTA,"4.7104413;-74.1414873",17923347,Panaderia,10,4
6757432,651152,EL IMPERIO CHINO,EDUARDO CERQUERA,CL 16 # 20 - 19,NEIVA,"2.936006666666666;-75.27709166666666",92006934,Restaurantes,5,3
6356777,642739,TIENDA SAIRA,jenny cano ,KR 24 # 40 - 29,VILLAVICENCIO,"4.158390909433365;-73.63321390002966",125006929,Tienda,1,1
4922912,106382,KETTER,maura,KR 80 # 95 A - 102 LC 1,MEDELLIN,"6.29397527977953;-75.5821318590127",20303705,Drogueria,6,1
7041211,125002064,tienda baquero,baquero,KR 33 # 34 A - 159,VILLAVICENCIO,"4.148613838478923;-73.63697695545852",125009763,Tienda,2,1
6386678,471651,SUPERMERCADO LA 72,,KR 28 G # 72 M - 68,CALI,"3.4204890727996826;-76.49690246582031",1224216085,Autoservicio,13,2
4117046,78408,lícores mixta,marelnis,CL 81 # 28 D2 - 04,CALI,"3.4175122249871492;-76.48750330321491",32020159,Licoreria,15,2
5079598,630152,TIENDA LAS GEMELAS ,rafael ,CL 31 # 9 SUR - 75,CUCUTA,"7.932437527924776;-72.5223062094301",110007061,Tienda,7,1
3793138,342654,PRODUCTOS DE ASEO,NO DECLARADO,CL 23 SUR # 24 D - 26,BOGOTA,"4.58585977554;-74.1069869995",17923612,Tienda,18,1
5936949,632398,PARGO ROJO,Emilia,KR 1 # 1 - 70 LC 1,CARTAGENA,"10.397379875183105;-75.56310272216797",72006611,Restaurantes,1,1
6821250,590834,Charcuteria Donde Ceci,,KR 6 # 1N - 26,VILLA DEL ROSARIO,"7.83771178;-72.46980361",1224017010,Tienda,1,1
3704868,206617,fruver el buen precio ,no declara ,KR 73 B # 94 - 100,MEDELLIN,"6.291136243;-75.5775325",20031020,Tienda,6,2
5256691,175316,CAFTERIA  DIAMANTE,Doris Aguirre,KR 17 # 25 - 02,MANIZALES,"5.071036079898477;-75.51607056520879",60601560,Restaurantes,2,1
6666918,941213,la bodeguita,,CL 32 # 34 - 93,VILLAVICENCIO,"4.143851280212402;-73.63577270507812",125009897,Cafeteria,6,1
4464647,96278,TIENDA SAMY,gabriela guzman,CL 21 A # 6 A - 03,MANIZALES,"5.0348519;-75.5094341",60026151,Tienda,12,1
6373345,768092,TDA nuevo milenio,NO DECLARADO,CL 23 # 20 B - 74,CUCUTA,"7.8805718421936035;-72.47021484375",110008019,Tienda,3,1
4964935,413738,LICORERA LOS POTRILLOS,,KR 27 B # 69 C - 08,PALMIRA,"3.556181970052421;-76.2912468239665",32020209,Licoreria,3,1
4834140,557529,Tienda Barrio Naranjito,Ana Portilla,CL 7 # 3 - 12 SEC NARANJITO,MOCOA,"1.1445600986480713;-76.64503479003906",341780134,Tienda,1,1
6552589,345291,Merka Urbano,,KR 23 D # 28A - 96,PASTO,"1.2200366666666667;-77.26758833333334",190002236,Autoservicio,12,1
5935088,787229,TIENDA DONDE SABAS ,luz elba medina ,CL 6 # 6 - 04,GARZON,"2.194542646408081;-75.62589263916016",341580267,Tienda,1,1
6439510,414022,EL PARADOR DE SANTI,no informa,KR 128 # 63 - 05,MEDELLIN,"6.2796735763549805;-75.63378143310547",22042944,LICOBAR,7,2
6934670,139482,COMPREMAS,na,KR 9 # 49 G SUR - 51,BOGOTA,"4.55800724029541;-74.120361328125",10413240,Autoservicio,18,2
6909967,190301,TIENDA EL FARO,no declara,CL 39 # 26 - 08,MEDELLIN,"6.2322774;-75.5540693",20003965,Tienda,9,2
4898790,72986,have a sushi,noralba ruiz,KR 36 # 48 - 134 LC 1,BUCARAMANGA,"7.115783300589663;-73.10860958796252",50901429,Comidas Rapidas,12,2
7017797,535662,PANADERIA PUNTO ROJO,,KR 12 # 9C - 98,VALLEDUPAR,"10.481245040893555;-73.2548828125",160009182,Panaderia,6,1
7055931,401076,MAS PAN,,CL 12 # 6 - 73,FACATATIVA,"4.817873001098633;-74.35651397705078",1200148139,Panaderia,1,1
5950006,356992,SURTIDORA DE POLLO EL CHISPAZO,NO DECLARADO,CL 73 A SUR # 27 - 06,BOGOTA,"4.548418333333333;-74.16067333333334",18012487,Restaurantes,19,5
6987246,81764,SUPERMERCADO EL BUEN PRECIO,alsira,KR 39 E # 49 - 93,CALI,"3.4090512939126714;-76.5005518209947",32026033,Tienda,15,2
